116b0,47f3,2
47f3,d771,2
5f17,706a,2
933f,faaf,2
1023,23c3,4
1023,46be,3
121f,23c3,5
121f,46be,2
23c3,46be,5
23c3,a97e,2
46be,a97e,2
195f,2144,4
2144,8fc3,2
74d5,8fc3,2
1536,aef8,2
15c6,3db2,2
15c6,3e92,2
15c6,8d02,2
15c6,aef8,2
3e92,c378,2
4f43,8d02,2
8d02,aef8,2
106bf,b8d7,2
12b77,3cf5,2
1fef,2087,6
1fef,2144,7
1fef,2e9e,2
1fef,3cf5,2
1fef,570,8
1fef,747,5
2087,2144,6
2087,2e9e,2
2087,38ff,3
2087,3cf5,4
2087,570,10
2087,747,4
2144,2e9e,3
2144,38ff,2
2144,3cf5,4
2144,570,11
2144,747,7
2e9e,3cf5,2
2e9e,570,2
2e9e,747,3
38ff,3cf5,3
38ff,570,2
38ff,747,2
3cf5,570,6
3cf5,747,4
570,747,8
11cb0,1c00,2
11cb0,1c1,2
11cb0,6891,2
11cb0,747,2
127b5,747,2
1c00,1c1,2
1c00,51be,2
1c00,6891,3
1c00,747,4
1c1,6891,2
1c1,747,2
319f,6891,3
51be,6891,2
6891,747,5
6b64,747,2
1dac,2064,2
1dac,22cf,2
1dac,238a,2
1dac,26b7,2
1dac,72eb,2
1dac,9336,2
2064,22cf,2
2064,238a,2
2064,26b7,2
2064,72eb,2
2064,9336,2
22cf,238a,2
22cf,26b7,2
22cf,72eb,2
22cf,9336,2
238a,26b7,2
238a,72eb,2
238a,9336,2
26b7,72eb,2
26b7,9336,2
2db0,3f95,2
72eb,9336,2
198f3,1a0b9,3
2db1,830c,2
2db1,8600,3
2db1,a283,2
830c,8600,2
830c,a283,2
8600,a283,2
141,1ffd,2
141,706b,2
141,b345,2
1eb2,1fe5,2
1eb2,1fef,3
1eb2,2144,3
1eb2,23c3,2
1eb2,30fd,2
1eb2,3f79,3
1eb2,4377,2
1eb2,46d4,2
1eb2,5038,3
1eb2,570,4
1eb2,5725,2
1eb2,5e81,2
1eb2,6ac,2
1eb2,6cc2,3
1eb2,6d63,4
1eb2,8553,3
1fe5,1fef,5
1fe5,2144,5
1fe5,23c3,2
1fe5,30fd,4
1fe5,3f79,2
1fe5,4377,2
1fe5,45e,3
1fe5,46d4,4
1fe5,5038,5
1fe5,570,7
1fe5,5e81,4
1fe5,6ac,3
1fe5,6cc2,2
1fe5,6d63,3
1fe5,8553,6
1fe5,bd3,4
1fef,23c3,4
1fef,30fd,4
1fef,3f79,3
1fef,4377,3
1fef,45e,3
1fef,46d4,4
1fef,5038,7
1fef,5725,2
1fef,5e81,4
1fef,6ac,4
1fef,6cc2,3
1fef,6d63,5
1fef,8553,7
1fef,bd3,3
2144,23c3,3
2144,30fd,5
2144,3f79,3
2144,4377,2
2144,45e,5
2144,46d4,3
2144,5038,9
2144,5725,2
2144,5e81,3
2144,6ac,4
2144,6cc2,3
2144,6d63,4
2144,8553,10
2144,bd3,5
23c3,30fd,2
23c3,3f79,3
23c3,4377,3
23c3,45e,2
23c3,46d4,4
23c3,5038,4
23c3,570,4
23c3,5725,2
23c3,5e81,4
23c3,6ac,4
23c3,6cc2,3
23c3,6d63,2
23c3,8553,3
23c3,bd3,4
30fd,3f79,2
30fd,4377,3
30fd,45e,4
30fd,46d4,2
30fd,5038,5
30fd,570,5
30fd,5e81,3
30fd,6ac,2
30fd,6d63,5
30fd,8553,5
30fd,bd3,3
3f79,4377,2
3f79,46d4,2
3f79,5038,4
3f79,570,3
3f79,5725,2
3f79,5e81,2
3f79,6ac,3
3f79,6d63,3
3f79,8553,3
4377,45e,3
4377,46d4,3
4377,5038,3
4377,570,3
4377,5725,2
4377,5e81,4
4377,6ac,3
4377,6cc2,2
4377,6d63,2
4377,8553,3
4377,bd3,3
45e,46d4,3
45e,5038,5
45e,570,5
45e,5e81,2
45e,6ac,3
45e,6cc2,2
45e,6d63,2
45e,8553,4
45e,bd3,5
46d4,5038,4
46d4,570,6
46d4,5725,2
46d4,5e81,5
46d4,6ac,4
46d4,6cc2,2
46d4,6d63,2
46d4,8553,5
46d4,bd3,5
5038,570,8
5038,5725,2
5038,5e81,4
5038,6ac,5
5038,6cc2,4
5038,6d63,6
5038,8553,8
5038,bd3,5
570,5725,2
570,5e81,7
570,6ac,6
570,6cc2,6
570,6d63,7
570,8553,10
570,bd3,8
5725,5e81,2
5725,6ac,3
5725,6d63,3
5725,8553,3
5e81,6ac,4
5e81,6cc2,3
5e81,6d63,4
5e81,8553,5
5e81,bd3,5
6ac,6cc2,4
